PY_API,URL,ALIASES,CPP_API,CPP_URL
ArgumentParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/ArgumentParser,['tf.compat.v1.app.flags.ArgumentParser'],,
ArgumentSerializer,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/ArgumentSerializer,['tf.compat.v1.app.flags.ArgumentSerializer'],,
BaseListParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/BaseListParser,['tf.compat.v1.app.flags.BaseListParser'],,
BooleanFlag,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/BooleanFlag,['tf.compat.v1.app.flags.BooleanFlag'],,
BooleanParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/BooleanParser,['tf.compat.v1.app.flags.BooleanParser'],,
CantOpenFlagFileError,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/CantOpenFlagFileError,['tf.compat.v1.app.flags.CantOpenFlagFileError'],,
CsvListSerializer,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/CsvListSerializer,['tf.compat.v1.app.flags.CsvListSerializer'],,
declare_key_flag,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/declare_key_flag,['tf.compat.v1.app.flags.declare_key_flag'],,
DEFINE,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE,['tf.compat.v1.app.flags.DEFINE'],,
DEFINE_alias,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_alias,['tf.compat.v1.app.flags.DEFINE_alias'],,
DEFINE_bool,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_bool,"['tf.compat.v1.app.flags.DEFINE_bool', 'tf.compat.v1.app.flags.DEFINE_boolean', 'tf.compat.v1.flags.DEFINE_boolean']",,
DEFINE_enum,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_enum,['tf.compat.v1.app.flags.DEFINE_enum'],,
DEFINE_enum_class,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_enum_class,['tf.compat.v1.app.flags.DEFINE_enum_class'],,
DEFINE_flag,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_flag,['tf.compat.v1.app.flags.DEFINE_flag'],,
DEFINE_float,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_float,['tf.compat.v1.app.flags.DEFINE_float'],,
DEFINE_integer,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_integer,['tf.compat.v1.app.flags.DEFINE_integer'],,
DEFINE_list,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_list,['tf.compat.v1.app.flags.DEFINE_list'],,
DEFINE_multi,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_multi,['tf.compat.v1.app.flags.DEFINE_multi'],,
DEFINE_multi_enum,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_multi_enum,['tf.compat.v1.app.flags.DEFINE_multi_enum'],,
DEFINE_multi_enum_class,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_multi_enum_class,['tf.compat.v1.app.flags.DEFINE_multi_enum_class'],,
DEFINE_multi_float,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_multi_float,['tf.compat.v1.app.flags.DEFINE_multi_float'],,
DEFINE_multi_integer,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_multi_integer,['tf.compat.v1.app.flags.DEFINE_multi_integer'],,
DEFINE_multi_string,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_multi_string,['tf.compat.v1.app.flags.DEFINE_multi_string'],,
DEFINE_spaceseplist,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_spaceseplist,['tf.compat.v1.app.flags.DEFINE_spaceseplist'],,
DEFINE_string,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DEFINE_string,['tf.compat.v1.app.flags.DEFINE_string'],,
disclaim_key_flags,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/disclaim_key_flags,['tf.compat.v1.app.flags.disclaim_key_flags'],,
doc_to_help,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/doc_to_help,['tf.compat.v1.app.flags.doc_to_help'],,
DuplicateFlagError,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/DuplicateFlagError,['tf.compat.v1.app.flags.DuplicateFlagError'],,
EnumClassFlag,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/EnumClassFlag,['tf.compat.v1.app.flags.EnumClassFlag'],,
EnumClassParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/EnumClassParser,['tf.compat.v1.app.flags.EnumClassParser'],,
EnumFlag,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/EnumFlag,['tf.compat.v1.app.flags.EnumFlag'],,
EnumParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/EnumParser,['tf.compat.v1.app.flags.EnumParser'],,
Error,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/Error,['tf.compat.v1.app.flags.Error'],,
Flag,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/Flag,['tf.compat.v1.app.flags.Flag'],,
FlagNameConflictsWithMethodError,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/FlagNameConflictsWithMethodError,['tf.compat.v1.app.flags.FlagNameConflictsWithMethodError'],,
FLAGS,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/FLAGS,['tf.compat.v1.app.flags.FLAGS'],,
FlagValues,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/FlagValues,['tf.compat.v1.app.flags.FlagValues'],,
flag_dict_to_args,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/flag_dict_to_args,['tf.compat.v1.app.flags.flag_dict_to_args'],,
FloatParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/FloatParser,['tf.compat.v1.app.flags.FloatParser'],,
get_help_width,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/get_help_width,['tf.compat.v1.app.flags.get_help_width'],,
IllegalFlagValueError,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/IllegalFlagValueError,['tf.compat.v1.app.flags.IllegalFlagValueError'],,
IntegerParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/IntegerParser,['tf.compat.v1.app.flags.IntegerParser'],,
ListParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/ListParser,['tf.compat.v1.app.flags.ListParser'],,
ListSerializer,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/ListSerializer,['tf.compat.v1.app.flags.ListSerializer'],,
mark_bool_flags_as_mutual_exclusive,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/mark_bool_flags_as_mutual_exclusive,['tf.compat.v1.app.flags.mark_bool_flags_as_mutual_exclusive'],,
mark_flags_as_mutual_exclusive,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/mark_flags_as_mutual_exclusive,['tf.compat.v1.app.flags.mark_flags_as_mutual_exclusive'],,
mark_flags_as_required,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/mark_flags_as_required,['tf.compat.v1.app.flags.mark_flags_as_required'],,
mark_flag_as_required,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/mark_flag_as_required,['tf.compat.v1.app.flags.mark_flag_as_required'],,
MultiEnumClassFlag,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/MultiEnumClassFlag,['tf.compat.v1.app.flags.MultiEnumClassFlag'],,
MultiFlag,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/MultiFlag,['tf.compat.v1.app.flags.MultiFlag'],,
multi_flags_validator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/multi_flags_validator,['tf.compat.v1.app.flags.multi_flags_validator'],,
register_multi_flags_validator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/register_multi_flags_validator,['tf.compat.v1.app.flags.register_multi_flags_validator'],,
register_validator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/register_validator,['tf.compat.v1.app.flags.register_validator'],,
text_wrap,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/text_wrap,['tf.compat.v1.app.flags.text_wrap'],,
UnparsedFlagAccessError,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/UnparsedFlagAccessError,['tf.compat.v1.app.flags.UnparsedFlagAccessError'],,
UnrecognizedFlagError,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/UnrecognizedFlagError,['tf.compat.v1.app.flags.UnrecognizedFlagError'],,
ValidationError,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/ValidationError,['tf.compat.v1.app.flags.ValidationError'],,
validator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/validator,['tf.compat.v1.app.flags.validator'],,
WhitespaceSeparatedListParser,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/WhitespaceSeparatedListParser,['tf.compat.v1.app.flags.WhitespaceSeparatedListParser'],,
make_decorator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/make_decorator,['tf.compat.v1.app.flags.tf_decorator.make_decorator'],,
rewrap,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/rewrap,['tf.compat.v1.app.flags.tf_decorator.rewrap'],,
TFDecorator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/TFDecorator,['tf.compat.v1.app.flags.tf_decorator.TFDecorator'],,
unwrap,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/unwrap,['tf.compat.v1.app.flags.tf_decorator.unwrap'],,
CurrentModuleFilter,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/tf_stack/CurrentModuleFilter,['tf.compat.v1.app.flags.tf_decorator.tf_stack.CurrentModuleFilter'],,
extract_stack,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/tf_stack/extract_stack,['tf.compat.v1.app.flags.tf_decorator.tf_stack.extract_stack'],,
FrameSummary,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/tf_stack/FrameSummary,['tf.compat.v1.app.flags.tf_decorator.tf_stack.FrameSummary'],,
StackSummary,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/tf_stack/StackSummary,['tf.compat.v1.app.flags.tf_decorator.tf_stack.StackSummary'],,
StackTraceFilter,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/tf_stack/StackTraceFilter,['tf.compat.v1.app.flags.tf_decorator.tf_stack.StackTraceFilter'],,
StackTraceMapper,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/tf_stack/StackTraceMapper,['tf.compat.v1.app.flags.tf_decorator.tf_stack.StackTraceMapper'],,
StackTraceTransform,https://www.tensorflow.org/api_docs/python/tf/compat/v1/flags/tf_decorator/tf_stack/StackTraceTransform,['tf.compat.v1.app.flags.tf_decorator.tf_stack.StackTraceTransform'],,
Copy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/Copy,[],,
DeleteRecursively,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/DeleteRecursively,[],,
Exists,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/Exists,[],,
FastGFile,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/FastGFile,[],,
Glob,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/Glob,[],,
IsDirectory,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/IsDirectory,[],,
ListDirectory,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/ListDirectory,[],,
MakeDirs,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/MakeDirs,[],,
MkDir,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/MkDir,[],,
Remove,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/Remove,[],,
Rename,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/Rename,[],,
Stat,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/Stat,[],,
Walk,https://www.tensorflow.org/api_docs/python/tf/compat/v1/gfile/Walk,[],,
convert_variables_to_constants,https://www.tensorflow.org/api_docs/python/tf/compat/v1/graph_util/convert_variables_to_constants,[],,
extract_sub_graph,https://www.tensorflow.org/api_docs/python/tf/compat/v1/graph_util/extract_sub_graph,[],,
must_run_on_cpu,https://www.tensorflow.org/api_docs/python/tf/compat/v1/graph_util/must_run_on_cpu,[],,
remove_training_nodes,https://www.tensorflow.org/api_docs/python/tf/compat/v1/graph_util/remove_training_nodes,[],,
tensor_shape_from_node_def_name,https://www.tensorflow.org/api_docs/python/tf/compat/v1/graph_util/tensor_shape_from_node_def_name,[],,
crop_and_resize,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/crop_and_resize,[],tensorflow::ops::CropAndResize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/crop-and-resize.html
draw_bounding_boxes,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/draw_bounding_boxes,[],tensorflow::ops::DrawBoundingBoxes,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/draw-bounding-boxes.html
extract_glimpse,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/extract_glimpse,[],tensorflow::ops::ExtractGlimpse,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/extract-glimpse.html
resize,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/resize,['tf.compat.v1.image.resize_images'],,
ResizeMethod,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/ResizeMethod,[],,
resize_area,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/resize_area,[],tensorflow::ops::ResizeArea,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/resize-area.html
resize_bicubic,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/resize_bicubic,[],tensorflow::ops::ResizeBicubic,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/resize-bicubic.html
resize_bilinear,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/resize_bilinear,[],tensorflow::ops::ResizeBilinear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/resize-bilinear.html
resize_image_with_pad,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/resize_image_with_pad,[],,
resize_nearest_neighbor,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/resize_nearest_neighbor,[],tensorflow::ops::ResizeNearestNeighbor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/resize-nearest-neighbor.html
sample_distorted_bounding_box,https://www.tensorflow.org/api_docs/python/tf/compat/v1/image/sample_distorted_bounding_box,[],tensorflow::ops::SampleDistortedBoundingBox,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sample-distorted-bounding-box.html
TFRecordCompressionType,https://www.tensorflow.org/api_docs/python/tf/compat/v1/io/TFRecordCompressionType,['tf.compat.v1.python_io.TFRecordCompressionType'],,
tf_record_iterator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/io/tf_record_iterator,['tf.compat.v1.python_io.tf_record_iterator'],,
get_session,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/backend/get_session,[],,
name_scope,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/backend/name_scope,['tf.compat.v1.name_scope'],,
set_session,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/backend/set_session,[],,
TensorBoard,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/callbacks/TensorBoard,[],,
model_to_estimator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/estimator/model_to_estimator,[],,
export_saved_model,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/experimental/export_saved_model,[],,
load_from_saved_model,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/experimental/load_from_saved_model,[],,
Constant,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/Constant,"['tf.compat.v1.constant_initializer', 'tf.compat.v1.initializers.constant', 'tf.compat.v1.keras.initializers.constant']",,
glorot_normal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/glorot_normal,"['tf.compat.v1.glorot_normal_initializer', 'tf.compat.v1.initializers.glorot_normal']",,
glorot_uniform,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/glorot_uniform,"['tf.compat.v1.glorot_uniform_initializer', 'tf.compat.v1.initializers.glorot_uniform']",,
he_normal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/he_normal,['tf.compat.v1.initializers.he_normal'],,
he_uniform,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/he_uniform,['tf.compat.v1.initializers.he_uniform'],,
Identity,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/Identity,"['tf.compat.v1.initializers.identity', 'tf.compat.v1.keras.initializers.identity']",tensorflow::ops::Identity,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/identity.html
Initializer,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/Initializer,[],,
lecun_normal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/lecun_normal,['tf.compat.v1.initializers.lecun_normal'],,
lecun_uniform,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/lecun_uniform,['tf.compat.v1.initializers.lecun_uniform'],,
Ones,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/Ones,"['tf.compat.v1.initializers.ones', 'tf.compat.v1.keras.initializers.ones', 'tf.compat.v1.ones_initializer']",,
Orthogonal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/Orthogonal,"['tf.compat.v1.initializers.orthogonal', 'tf.compat.v1.keras.initializers.orthogonal', 'tf.compat.v1.orthogonal_initializer']",,
RandomNormal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/RandomNormal,"['tf.compat.v1.keras.initializers.normal', 'tf.compat.v1.keras.initializers.random_normal']",tensorflow::ops::RandomNormal,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/random-normal.html
RandomUniform,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/RandomUniform,"['tf.compat.v1.keras.initializers.random_uniform', 'tf.compat.v1.keras.initializers.uniform']",tensorflow::ops::RandomUniform,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/random-uniform.html
TruncatedNormal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/TruncatedNormal,['tf.compat.v1.keras.initializers.truncated_normal'],tensorflow::ops::TruncatedNormal,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/truncated-normal.html
VarianceScaling,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/VarianceScaling,"['tf.compat.v1.initializers.variance_scaling', 'tf.compat.v1.variance_scaling_initializer']",,
Zeros,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/initializers/Zeros,"['tf.compat.v1.initializers.zeros', 'tf.compat.v1.keras.initializers.zeros', 'tf.compat.v1.zeros_initializer']",,
BatchNormalization,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/BatchNormalization,[],,
CuDNNGRU,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/CuDNNGRU,[],,
CuDNNLSTM,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/CuDNNLSTM,[],,
DenseFeatures,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/DenseFeatures,[],,
GRU,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/GRU,[],,
GRUCell,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/GRUCell,[],,
LSTM,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/LSTM,[],,
LSTMCell,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/LSTMCell,[],,
Normalization,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/experimental/preprocessing/Normalization,[],,
TextVectorization,https://www.tensorflow.org/api_docs/python/tf/compat/v1/keras/layers/experimental/preprocessing/TextVectorization,[],,
AveragePooling1D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/AveragePooling1D,[],,
AveragePooling2D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/AveragePooling2D,[],,
AveragePooling3D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/AveragePooling3D,[],,
average_pooling1d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/average_pooling1d,[],,
average_pooling2d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/average_pooling2d,[],,
average_pooling3d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/average_pooling3d,[],,
BatchNormalization,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/BatchNormalization,[],,
batch_normalization,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/batch_normalization,[],,
Conv1D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Conv1D,[],,
conv1d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/conv1d,[],,
Conv2D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Conv2D,[],tensorflow::ops::Conv2D,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/conv2-d.html
conv2d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/conv2d,[],,
Conv2DTranspose,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Conv2DTranspose,[],,
conv2d_transpose,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/conv2d_transpose,[],,
Conv3D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Conv3D,[],tensorflow::ops::Conv3D,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/conv3-d.html
conv3d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/conv3d,[],,
Conv3DTranspose,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Conv3DTranspose,[],,
conv3d_transpose,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/conv3d_transpose,[],,
Dense,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Dense,[],,
dense,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/dense,[],,
Dropout,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Dropout,[],,
dropout,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/dropout,[],,
Flatten,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Flatten,[],,
flatten,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/flatten,[],,
Layer,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/Layer,[],,
MaxPooling1D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/MaxPooling1D,[],,
MaxPooling2D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/MaxPooling2D,[],,
MaxPooling3D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/MaxPooling3D,[],,
max_pooling1d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/max_pooling1d,[],,
max_pooling2d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/max_pooling2d,[],,
max_pooling3d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/max_pooling3d,[],,
SeparableConv1D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/SeparableConv1D,[],,
SeparableConv2D,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/SeparableConv2D,[],,
separable_conv1d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/separable_conv1d,[],,
separable_conv2d,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/separable_conv2d,[],,
keras_style_scope,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/experimental/keras_style_scope,[],,
set_keras_style,https://www.tensorflow.org/api_docs/python/tf/compat/v1/layers/experimental/set_keras_style,[],,
l2_normalize,https://www.tensorflow.org/api_docs/python/tf/compat/v1/linalg/l2_normalize,"['tf.compat.v1.math.l2_normalize', 'tf.compat.v1.nn.l2_normalize']",,
OpHint,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/OpHint,[],,
OpHint.OpHintArgumentTracker,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/OpHint/OpHintArgumentTracker,[],,
TFLiteConverter,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/TFLiteConverter,[],,
TocoConverter,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/TocoConverter,[],,
toco_convert,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/toco_convert,[],,
convert_op_hints_to_stubs,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/experimental/convert_op_hints_to_stubs,[],,
get_potentially_supported_ops,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/experimental/get_potentially_supported_ops,[],,
dynamic_rnn,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/experimental/nn/dynamic_rnn,[],,
TFLiteLSTMCell,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/experimental/nn/TFLiteLSTMCell,[],,
TfLiteRNNCell,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lite/experimental/nn/TfLiteRNNCell,[],,
debug,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/debug,[],,
error,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/error,[],,
fatal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/fatal,[],,
flush,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/flush,[],,
get_verbosity,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/get_verbosity,[],,
info,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/info,[],,
log,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/log,[],tensorflow::ops::Log,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/log.html
log_every_n,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/log_every_n,[],,
log_first_n,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/log_first_n,[],,
log_if,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/log_if,[],,
set_verbosity,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/set_verbosity,[],,
TaskLevelStatusMessage,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/TaskLevelStatusMessage,[],,
vlog,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/vlog,[],,
warn,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/warn,[],,
warning,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/warning,[],,
StaticHashTable,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lookup/StaticHashTable,[],,
StaticVocabularyTable,https://www.tensorflow.org/api_docs/python/tf/compat/v1/lookup/StaticVocabularyTable,[],,
absolute_difference,https://www.tensorflow.org/api_docs/python/tf/compat/v1/losses/absolute_difference,[],,
add_loss,https://www.tensorflow.org/api_docs/python/tf/compat/v1/losses/add_loss,[],,
compute_weighted_loss,https://www.tensorflow.org/api_docs/python/tf/compat/v1/losses/compute_weighted_loss,[],,
cosine_distance,https://www.tensorflow.org/api_docs/python/tf/compat/v1/losses/cosine_distance,[],,
get_losses,https://www.tensorflow.org/api_docs/python/tf/compat/v1/losses/get_losses,[],,
get_regularization_loss,https://www.tensorflow.org/api_docs/python/tf/compat/v1/losses/get_regularization_loss,[],,
