IDX,API,URL,V1,NOTE,VALID_MAP
33,reshape,https://www.tensorflow.org/api_docs/python/tf/sparse/reshape,,,
34,reverse,https://www.tensorflow.org/api_docs/python/tf/reverse,,,
34,reverse,https://www.tensorflow.org/api_docs/python/tf/keras/backend/reverse,,,
35,reverse_sequence,https://www.tensorflow.org/api_docs/python/tf/reverse_sequence,,,
35,reverse_sequence,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reverse_sequence,Y,,valid
36,scan,https://www.tensorflow.org/api_docs/python/tf/scan,,,
36,scan,https://www.tensorflow.org/api_docs/python/tf/data/experimental/scan,,,
37,shape,https://www.tensorflow.org/api_docs/python/tf/shape,,,
37,shape,https://www.tensorflow.org/api_docs/python/tf/compat/v1/shape,Y,,
37,shape,https://www.tensorflow.org/api_docs/python/tf/keras/backend/shape,,,valid
38,size,https://www.tensorflow.org/api_docs/python/tf/size,,,
38,size,https://www.tensorflow.org/api_docs/python/tf/compat/v1/size,Y,,
38,size,https://www.tensorflow.org/api_docs/python/tf/sets/size,,,valid
39,slice,https://www.tensorflow.org/api_docs/python/tf/slice,,,
39,slice,https://www.tensorflow.org/api_docs/python/tf/sparse/slice,,,
40,space_to_batch,https://www.tensorflow.org/api_docs/python/tf/space_to_batch,,,
40,space_to_batch,https://www.tensorflow.org/api_docs/python/tf/compat/v1/space_to_batch,Y,,valid
41,split,https://www.tensorflow.org/api_docs/python/tf/split,,,
41,split,https://www.tensorflow.org/api_docs/python/tf/compat/v1/strings/split,Y,,
41,split,https://www.tensorflow.org/api_docs/python/tf/sparse/split,,,
41,split,https://www.tensorflow.org/api_docs/python/tf/strings/split,,,valid
42,squeeze,https://www.tensorflow.org/api_docs/python/tf/squeeze,,,
42,squeeze,https://www.tensorflow.org/api_docs/python/tf/compat/v1/squeeze,Y,,
42,squeeze,https://www.tensorflow.org/api_docs/python/tf/keras/backend/squeeze,,,valid
43,stack,https://www.tensorflow.org/api_docs/python/tf/stack,,,
43,stack,https://www.tensorflow.org/api_docs/python/tf/keras/backend/stack,,,
43,stack,https://www.tensorflow.org/api_docs/python/tf/ragged/stack,,,
44,stop_gradient,https://www.tensorflow.org/api_docs/python/tf/stop_gradient,,,
44,stop_gradient,https://www.tensorflow.org/api_docs/python/tf/keras/backend/stop_gradient,,,
45,tile,https://www.tensorflow.org/api_docs/python/tf/tile,,,
45,tile,https://www.tensorflow.org/api_docs/python/tf/keras/backend/tile,,,
46,transpose,https://www.tensorflow.org/api_docs/python/tf/transpose,,,
46,transpose,https://www.tensorflow.org/api_docs/python/tf/compat/v1/transpose,Y,,
46,transpose,https://www.tensorflow.org/api_docs/python/tf/image/transpose,,,
46,transpose,https://www.tensorflow.org/api_docs/python/tf/keras/backend/transpose,,,
46,transpose,https://www.tensorflow.org/api_docs/python/tf/sparse/transpose,,,valid
47,tuple,https://www.tensorflow.org/api_docs/python/tf/tuple,,,
47,tuple,https://www.tensorflow.org/api_docs/python/tf/compat/v1/tuple,Y,,valid
48,unique,https://www.tensorflow.org/api_docs/python/tf/unique,,,
48,unique,https://www.tensorflow.org/api_docs/python/tf/data/experimental/unique,,,
49,Variable,https://www.tensorflow.org/api_docs/python/tf/Variable,,deprecated,
49,Variable,https://www.tensorflow.org/api_docs/python/tf/compat/v1/Variable,Y,deprecated,
50,VariableAggregation,https://www.tensorflow.org/api_docs/python/tf/VariableAggregation,,,
50,VariableAggregation,https://www.tensorflow.org/api_docs/python/tf/compat/v1/VariableAggregation,Y,,valid
51,variable_creator_scope,https://www.tensorflow.org/api_docs/python/tf/variable_creator_scope,,,
51,variable_creator_scope,https://www.tensorflow.org/api_docs/python/tf/compat/v1/variable_creator_scope,Y,,valid
52,where,https://www.tensorflow.org/api_docs/python/tf/where,,,
52,where,https://www.tensorflow.org/api_docs/python/tf/compat/v1/where,Y,,valid
53,while_loop,https://www.tensorflow.org/api_docs/python/tf/while_loop,,,
53,while_loop,https://www.tensorflow.org/api_docs/python/tf/compat/v1/while_loop,Y,,valid
54,zeros,https://www.tensorflow.org/api_docs/python/tf/zeros,,,
54,zeros,https://www.tensorflow.org/api_docs/python/tf/keras/backend/zeros,,,
55,zeros_like,https://www.tensorflow.org/api_docs/python/tf/zeros_like,,,
55,zeros_like,https://www.tensorflow.org/api_docs/python/tf/compat/v1/zeros_like,Y,,
55,zeros_like,https://www.tensorflow.org/api_docs/python/tf/keras/backend/zeros_like,,,valid
56,set_verbosity,https://www.tensorflow.org/api_docs/python/tf/autograph/set_verbosity,,,
56,set_verbosity,https://www.tensorflow.org/api_docs/python/tf/compat/v1/logging/set_verbosity,Y,,valid
57,to_code,https://www.tensorflow.org/api_docs/python/tf/autograph/to_code,,,
57,to_code,https://www.tensorflow.org/api_docs/python/tf/compat/v1/autograph/to_code,Y,,valid
58,to_graph,https://www.tensorflow.org/api_docs/python/tf/autograph/to_graph,,,
58,to_graph,https://www.tensorflow.org/api_docs/python/tf/compat/v1/autograph/to_graph,Y,,valid
59,trace,https://www.tensorflow.org/api_docs/python/tf/autograph/trace,,,
59,trace,https://www.tensorflow.org/api_docs/python/tf/linalg/trace,,,
60,Feature,https://www.tensorflow.org/api_docs/python/tf/autograph/experimental/Feature,,,
60,Feature,https://www.tensorflow.org/api_docs/python/tf/train/Feature,,,
61,argmax,https://www.tensorflow.org/api_docs/python/tf/compat/v1/argmax,Y,,
61,argmax,https://www.tensorflow.org/api_docs/python/tf/keras/backend/argmax,,,
61,argmax,https://www.tensorflow.org/api_docs/python/tf/math/argmax,,,valid
62,argmin,https://www.tensorflow.org/api_docs/python/tf/compat/v1/argmin,Y,,
62,argmin,https://www.tensorflow.org/api_docs/python/tf/keras/backend/argmin,,,
62,argmin,https://www.tensorflow.org/api_docs/python/tf/math/argmin,,,valid
63,assert_equal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_equal,Y,,
63,assert_equal,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_equal,,,valid
64,assert_greater,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_greater,Y,,
64,assert_greater,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_greater,,,valid
65,assert_greater_equal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_greater_equal,Y,,
65,assert_greater_equal,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_greater_equal,,,valid
66,assert_integer,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_integer,Y,,
66,assert_integer,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_integer,,,valid
67,assert_less,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_less,Y,,
67,assert_less,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_less,,,valid
68,assert_less_equal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_less_equal,Y,,
68,assert_less_equal,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_less_equal,,,valid
69,assert_near,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_near,Y,,
69,assert_near,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_near,,,valid
70,assert_negative,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_negative,Y,,
70,assert_negative,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_negative,,,valid
71,assert_none_equal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_none_equal,Y,,
71,assert_none_equal,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_none_equal,,,valid
72,assert_non_negative,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_non_negative,Y,,
72,assert_non_negative,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_non_negative,,,valid
73,assert_non_positive,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_non_positive,Y,,
73,assert_non_positive,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_non_positive,,,valid
74,assert_positive,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_positive,Y,,
74,assert_positive,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_positive,,,valid
75,assert_rank,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_rank,Y,,
75,assert_rank,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_rank,,,valid
76,assert_rank_at_least,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_rank_at_least,Y,,
76,assert_rank_at_least,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_rank_at_least,,,valid
77,assert_rank_in,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_rank_in,Y,,
77,assert_rank_in,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_rank_in,,,valid
78,assert_scalar,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_scalar,Y,,
78,assert_scalar,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_scalar,,,valid
79,assert_type,https://www.tensorflow.org/api_docs/python/tf/compat/v1/assert_type,Y,,
79,assert_type,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_type,,,valid
80,bincount,https://www.tensorflow.org/api_docs/python/tf/compat/v1/bincount,Y,,
80,bincount,https://www.tensorflow.org/api_docs/python/tf/math/bincount,,,valid
81,confusion_matrix,https://www.tensorflow.org/api_docs/python/tf/compat/v1/confusion_matrix,Y,,
81,confusion_matrix,https://www.tensorflow.org/api_docs/python/tf/math/confusion_matrix,,,valid
82,count_nonzero,https://www.tensorflow.org/api_docs/python/tf/compat/v1/count_nonzero,Y,,
82,count_nonzero,https://www.tensorflow.org/api_docs/python/tf/math/count_nonzero,,,valid
83,decode_csv,https://www.tensorflow.org/api_docs/python/tf/compat/v1/decode_csv,Y,,
83,decode_csv,https://www.tensorflow.org/api_docs/python/tf/io/decode_csv,,,valid
84,decode_raw,https://www.tensorflow.org/api_docs/python/tf/compat/v1/decode_raw,Y,,
84,decode_raw,https://www.tensorflow.org/api_docs/python/tf/io/decode_raw,,,valid
85,depth_to_space,https://www.tensorflow.org/api_docs/python/tf/compat/v1/depth_to_space,Y,,
85,depth_to_space,https://www.tensorflow.org/api_docs/python/tf/nn/depth_to_space,,,valid
86,parse_example,https://www.tensorflow.org/api_docs/python/tf/compat/v1/parse_example,Y,,
86,parse_example,https://www.tensorflow.org/api_docs/python/tf/io/parse_example,,,valid
87,parse_single_example,https://www.tensorflow.org/api_docs/python/tf/compat/v1/parse_single_example,Y,,
87,parse_single_example,https://www.tensorflow.org/api_docs/python/tf/io/parse_single_example,,,valid
88,placeholder,https://www.tensorflow.org/api_docs/python/tf/compat/v1/placeholder,Y,,
88,placeholder,https://www.tensorflow.org/api_docs/python/tf/compat/v1/ragged/placeholder,Y,,
88,placeholder,https://www.tensorflow.org/api_docs/python/tf/keras/backend/placeholder,,,valid
89,reduce_any,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reduce_any,Y,,
89,reduce_any,https://www.tensorflow.org/api_docs/python/tf/math/reduce_any,,,valid
90,reduce_join,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reduce_join,Y,,
90,reduce_join,https://www.tensorflow.org/api_docs/python/tf/strings/reduce_join,,,valid
91,reduce_logsumexp,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reduce_logsumexp,Y,,
91,reduce_logsumexp,https://www.tensorflow.org/api_docs/python/tf/math/reduce_logsumexp,,,valid
