,support,itemsets,length
943,0.06208863536638877,"frozenset({'operation', 'optional', 'name'})",3
946,0.014480035103115402,"frozenset({'optional', 'tensor', 'SOME_DTYPE'})",3
940,0.012395787626151821,"frozenset({'optional', 'SOME_DTYPE', 'SOME_STRUCTURE'})",3
944,0.01086002632733655,"frozenset({'tensor', 'SOME_DTYPE', 'must'})",3
838,0.010421237384817903,"frozenset({'variable', 'tensor'})",2
937,0.009872751206669592,"frozenset({'tensor', 'must', 'type'})",3
945,0.008885476086002632,"frozenset({'optional', 'SOME_DTYPE', 'name'})",3
611,0.007788503729706011,"frozenset({'graph', 'default'})",2
598,0.007459412022817025,"frozenset({'supported', 'SOME_DTYPE'})",2
931,0.007130320315928039,"frozenset({'input', 'tensor', 'SOME_DTYPE'})",3
908,0.00669153137340939,"frozenset({'tensor', 'SOME_DTYPE', 'values'})",3
803,0.0064721369021500655,"frozenset({'false', 'defaults'})",2
767,0.006252742430890742,"frozenset({'either', 'tensor', 'SOME_DTYPE'})",3
557,0.006033347959631417,"frozenset({'SOME_DTYPE', 'embedding'})",2
935,0.005813953488372093,"frozenset({'tensor', 'must', 'shape'})",3
538,0.005704256252742431,"frozenset({'rate', 'convolution'})",2
878,0.0055945590171127685,"frozenset({'value', 'none', 'default'})",3
526,0.005484861781483106,"frozenset({'computation', 'see'})",2
504,0.005046072838964458,"frozenset({'tensor', 'many', 'entries', 'print'})",4
503,0.005046072838964458,"frozenset({'argument', 'SOME_DTYPE'})",2
498,0.004936375603334796,"frozenset({'e', 'g'})",2
899,0.004826678367705134,"frozenset({'defaults', 'SOME_DTYPE', 'tf'})",3
852,0.004826678367705134,"frozenset({'input', 'tensor', 'output'})",3
494,0.0047169811320754715,"frozenset({'samples', 'tensor'})",2
877,0.004607283896445809,"frozenset({'value', 'none', 'SOME_STRUCTURE'})",3
487,0.004497586660816147,"frozenset({'never', 'set', 'channels_last'})",3
470,0.0042781921895568235,"frozenset({'supported', 'currently'})",2
462,0.004168494953927161,"frozenset({'input', 'stride', 'dimension', 'window', 'sliding', 'tensor'})",6
791,0.004058797718297499,"frozenset({'tensor', 'SOME_DTYPE', 'shape', 'n'})",4
644,0.003949100482667837,"frozenset({'message', 'prefix', 'SOME_DTYPE', 'default'})",4
459,0.003949100482667837,"frozenset({'input', 'factor', 'dimension', 'dilation'})",4
454,0.003949100482667837,"frozenset({'max', 'SOME_DTYPE'})",2
455,0.003949100482667837,"frozenset({'new', 'name'})",2
753,0.0038394032470381746,"frozenset({'values', 'range'})",2
905,0.0038394032470381746,"frozenset({'tensor', 'values', 'shape'})",3
832,0.0038394032470381746,"frozenset({'tensor', 'SOME_DTYPE', 'length'})",3
876,0.0037297060114085123,"frozenset({'tensor', 'none', 'SOME_STRUCTURE'})",3
851,0.0037297060114085123,"frozenset({'tensor', 'shape', 'output'})",3
784,0.0037297060114085123,"frozenset({'tensor', 'SOME_DTYPE', 'python', 'number'})",4
442,0.0037297060114085123,"frozenset({'single', 'row', 'SOME_DTYPE'})",3
886,0.0036200087757788505,"frozenset({'tensor', 'true'})",2
662,0.0036200087757788505,"frozenset({'axis', 'along'})",2
923,0.0036200087757788505,"frozenset({'input', 'value', 'SOME_DTYPE'})",3
439,0.0036200087757788505,"frozenset({'layer', 'arguments', 'standard', 'keyword'})",4
595,0.0036200087757788505,"frozenset({'rank', 'optional', 'e', 'dimension', 'dimensions', 'whose', 'corresponding', 'labels', 'must', 'either', 'broadcastable', 'tensor'})",12
429,0.0035103115401491883,"frozenset({'resulting', 'tensor'})",2
720,0.0035103115401491883,"frozenset({'single', 'SOME_DTYPE', 'SOME_STRUCTURE'})",3
711,0.0035103115401491883,"frozenset({'first', 'tensor', 'dimension'})",3
719,0.003400614304519526,"frozenset({'single', 'value', 'SOME_DTYPE'})",3
419,0.003400614304519526,"frozenset({'based', 'SOME_DTYPE'})",2
422,0.003400614304519526,"frozenset({'boxes', 'tensor', 'SOME_DTYPE', 'representing'})",4
423,0.003400614304519526,"frozenset({'expected', 'tensor'})",2
424,0.003400614304519526,"frozenset({'images', 'image'})",2
922,0.003290917068889864,"frozenset({'value', 'must'})",2
850,0.003290917068889864,"frozenset({'output', 'SOME_DTYPE', 'type'})",3
797,0.003290917068889864,"frozenset({'axis', 'tensor', 'SOME_DTYPE'})",3
875,0.003290917068889864,"frozenset({'SOME_DTYPE', 'none', 'SOME_STRUCTURE'})",3
411,0.003290917068889864,"frozenset({'see', 'tf', 'convolution', 'details', 'returns', 'section', 'nn'})",7
747,0.003290917068889864,"frozenset({'either', 'SOME_DTYPE', 'valid'})",3
885,0.003290917068889864,"frozenset({'defaults', 'true'})",2
868,0.003181219833260202,"frozenset({'SOME_DTYPE', 'used'})",2
930,0.003181219833260202,"frozenset({'input', 'tensor', 'shape'})",3
898,0.003181219833260202,"frozenset({'tf', 'SOME_STRUCTURE'})",2
618,0.003181219833260202,"frozenset({'tensor', 'reduce'})",2
739,0.003181219833260202,"frozenset({'x', 'must', 'type'})",3
401,0.003181219833260202,"frozenset({'SOME_DTYPE', 'specify'})",2
582,0.00307152259763054,"frozenset({'shape', 'in_channels', 'batch'})",3
393,0.00307152259763054,"frozenset({'tensor', 'raggedtensor'})",2
394,0.00307152259763054,"frozenset({'tensor', 'normalized'})",2
398,0.00307152259763054,"frozenset({'equal', 'must'})",2
