,support,itemsets,length
159,0.006252742430890742,"frozenset({'either', 'SOME_DTYPE'})",2
318,0.00614304519526108,"frozenset({'tensor', 'shape', 'd', 'SOME_DTYPE'})",4
216,0.00614304519526108,"frozenset({'default', 'value'})",2
257,0.006033347959631417,"frozenset({'tensor', 'objects'})",2
314,0.006033347959631417,"frozenset({'tensor', 'shape', 'type'})",3
250,0.005923650724001755,"frozenset({'tensor', 'n'})",2
193,0.005923650724001755,"frozenset({'batch', 'dimensions'})",2
299,0.005923650724001755,"frozenset({'tensor', 'shape', 'batch_size'})",3
203,0.005923650724001755,"frozenset({'tensor', 'broadcastable'})",2
220,0.005813953488372093,"frozenset({'last', 'dimension'})",2
297,0.005813953488372093,"frozenset({'batch', 'shape', 'd'})",3
245,0.005813953488372093,"frozenset({'shape', 'must'})",2
172,0.005813953488372093,"frozenset({'single', 'SOME_DTYPE'})",2
313,0.005704256252742431,"frozenset({'tensor', 'optional', 'name'})",3
289,0.005704256252742431,"frozenset({'tensor', 'python', 'SOME_DTYPE'})",3
272,0.005704256252742431,"frozenset({'tensor', 'tf'})",2
225,0.005704256252742431,"frozenset({'window', 'dimension'})",2
307,0.0055945590171127685,"frozenset({'tensor', 'must', 'dimensions'})",3
255,0.0055945590171127685,"frozenset({'none', 'value'})",2
256,0.0055945590171127685,"frozenset({'tensor', 'number'})",2
163,0.0055945590171127685,"frozenset({'message', 'SOME_DTYPE'})",2
239,0.0055945590171127685,"frozenset({'input', 'window'})",2
208,0.0055945590171127685,"frozenset({'tensor', 'corresponding'})",2
306,0.0055945590171127685,"frozenset({'input', 'window', 'dimension'})",3
253,0.0055945590171127685,"frozenset({'returned', 'name'})",2
230,0.005484861781483106,"frozenset({'either', 'must'})",2
241,0.005484861781483106,"frozenset({'tensor', 'labels'})",2
295,0.005375164545853445,"frozenset({'tensor', 'objects', 'SOME_STRUCTURE'})",3
154,0.005375164545853445,"frozenset({'batch', 'SOME_DTYPE'})",2
214,0.005375164545853445,"frozenset({'tensor', 'data'})",2
