class,Type,name,input,link,source_code
,function,torch.initial_seed,,https://pytorch.org/docs/stable/torch.html#torch.initial_seed,https://pytorch.org/docs/stable/_modules/torch/random.html#initial_seed
,function,torch.get_rng_state,,https://pytorch.org/docs/stable/torch.html#torch.get_rng_state,https://pytorch.org/docs/stable/_modules/torch/random.html#get_rng_state
,function,torch.set_rng_state,new_state,https://pytorch.org/docs/stable/torch.html#torch.set_rng_state,https://pytorch.org/docs/stable/_modules/torch/random.html#set_rng_state
,function,torch.bernoulli,"input,*,generator=None,out=None",https://pytorch.org/docs/stable/torch.html#torch.bernoulli,
,function,torch.multinomial,"input,num_samples,replacement=False,*,generator=None,out=None",https://pytorch.org/docs/stable/torch.html#torch.multinomial,
,function,torch.normal,"mean,std,*,generator=None,out=None,mean=0.0,std,out=None,mean,std=1.0,out=None,mean,std,size,*,out=None",https://pytorch.org/docs/stable/torch.html#torch.normal,
,function,torch.normal,"mean,std,*,generator=None,out=None",,
,function,torch.normal,"mean=0.0,std,out=None",,
,function,torch.normal,"mean,std=1.0,out=None",,
,function,torch.normal,"mean,std,size,*,out=None",,
,function,torch.rand,"*size,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.rand,
,function,torch.rand_like,"input,dtype=None,layout=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.rand_like,
,function,torch.randint,"low=0,high,size,*,generator=None,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.randint,
,function,torch.randint_like,"input,low=0,high,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.randint_like,
,function,torch.randn,"*size,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.randn,
,function,torch.randn_like,"input,dtype=None,layout=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.randn_like,
,function,torch.randperm,"n,out=None,dtype=torch.int64,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.randperm,
,function,torch.save,"obj,f,pickle_module=<module 'pickle' from '/opt/conda/lib/python3.6/pickle.py'>,pickle_protocol=2,_use_new_zipfile_serialization=False",https://pytorch.org/docs/stable/torch.html#torch.save,https://pytorch.org/docs/stable/_modules/torch/serialization.html#save
,function,torch.load,"f,map_location=None,pickle_module=<module 'pickle' from '/opt/conda/lib/python3.6/pickle.py'>,**pickle_load_args",https://pytorch.org/docs/stable/torch.html#torch.load,https://pytorch.org/docs/stable/_modules/torch/serialization.html#load
,function,torch.get_num_threads,,https://pytorch.org/docs/stable/torch.html#torch.get_num_threads,
,function,torch.set_num_threads,int,https://pytorch.org/docs/stable/torch.html#torch.set_num_threads,
,function,torch.get_num_interop_threads,,https://pytorch.org/docs/stable/torch.html#torch.get_num_interop_threads,
,function,torch.set_num_interop_threads,int,https://pytorch.org/docs/stable/torch.html#torch.set_num_interop_threads,
,function,torch.abs,"input,out=None",https://pytorch.org/docs/stable/torch.html#torch.abs,
