class,Type,name,input,link,source_code
,function,torch.nn.functional.elu,"input,alpha=1.0,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.elu,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#elu
,function,torch.nn.functional.elu_,"input,alpha=1.",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.elu_,
,function,torch.nn.functional.selu,"input,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.selu,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#selu
,function,torch.nn.functional.celu,"input,alpha=1.,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.celu,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#celu
,function,torch.nn.functional.leaky_relu,"input,negative_slope=0.01,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.leaky_relu,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#leaky_relu
,function,torch.nn.functional.leaky_relu_,"input,negative_slope=0.01",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.leaky_relu_,
,function,torch.nn.functional.prelu,"input,weight",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.prelu,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#prelu
,function,torch.nn.functional.rrelu,"input,lower=1./8,upper=1./3,training=False,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.rrelu,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#rrelu
,function,torch.nn.functional.rrelu_,"input,lower=1./8,upper=1./3,training=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.rrelu_,
,function,torch.nn.functional.glu,"input,dim=-1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.glu,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#glu
,function,torch.nn.functional.gelu,input,https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.gelu,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#gelu
,function,torch.nn.functional.logsigmoid,input,https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.logsigmoid,
,function,torch.nn.functional.hardshrink,"input,lambd=0.5",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.hardshrink,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#hardshrink
,function,torch.nn.functional.tanhshrink,input,https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.tanhshrink,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#tanhshrink
,function,torch.nn.functional.softsign,input,https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.softsign,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#softsign
,function,torch.nn.functional.softplus,"input,beta=1,threshold=20",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.softplus,
,function,torch.nn.functional.softmin,"input,dim=None,_stacklevel=3,dtype=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.softmin,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#softmin
,function,torch.nn.functional.softmax,"input,dim=None,_stacklevel=3,dtype=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.softmax,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#softmax
,function,torch.nn.functional.softshrink,"input,lambd=0.5",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.softshrink,
,function,torch.nn.functional.gumbel_softmax,"logits,tau=1,hard=False,eps=1e-10,dim=-1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.gumbel_softmax,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#gumbel_softmax
,function,torch.nn.functional.log_softmax,"input,dim=None,_stacklevel=3,dtype=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.log_softmax,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#log_softmax
,function,torch.nn.functional.tanh,input,https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.tanh,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#tanh
