class,Type,name,input,link,source_code
torch.Tensor,method,bitwise_not_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bitwise_not_,
torch.Tensor,method,bitwise_xor,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bitwise_xor,
torch.Tensor,method,bitwise_xor_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bitwise_xor_,
torch.Tensor,method,bmm,batch2,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bmm,
torch.Tensor,method,bool,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bool,
torch.Tensor,method,byte,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.byte,
torch.Tensor,method,cauchy_,"median=0,sigma=1,*,generator=None",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cauchy_,
torch.Tensor,method,ceil,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ceil,
torch.Tensor,method,ceil_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ceil_,
torch.Tensor,method,char,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.char,
torch.Tensor,method,cholesky,upper=False,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cholesky,
torch.Tensor,method,cholesky_inverse,upper=False,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cholesky_inverse,
torch.Tensor,method,cholesky_solve,"input2,upper=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cholesky_solve,
torch.Tensor,method,chunk,"chunks,dim=0",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.chunk,
torch.Tensor,method,clamp,"min,max",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.clamp,
torch.Tensor,method,clamp_,"min,max",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.clamp_,
torch.Tensor,method,clone,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.clone,
torch.Tensor,method,contiguous,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.contiguous,
torch.Tensor,method,copy_,"src,non_blocking=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.copy_,
torch.Tensor,method,conj,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.conj,
torch.Tensor,method,cos,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cos,
torch.Tensor,method,cos_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cos_,
torch.Tensor,method,cosh,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cosh,
torch.Tensor,method,cosh_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cosh_,
torch.Tensor,method,cpu,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cpu,
torch.Tensor,method,cross,"other,dim=-1",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cross,
torch.Tensor,method,cuda,"device=None,non_blocking=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cuda,
torch.Tensor,method,cumprod,"dim,dtype=None",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cumprod,
torch.Tensor,method,cumsum,"dim,dtype=None",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cumsum,
torch.Tensor,method,data_ptr,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.data_ptr,
torch.Tensor,method,dequantize,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.dequantize,
torch.Tensor,method,det,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.det,
torch.Tensor,method,dense_dim,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.dense_dim,
torch.Tensor,method,detach,,,
torch.Tensor,method,detach_,,,
torch.Tensor,method,diag,diagonal=0,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.diag,
torch.Tensor,method,diag_embed,"offset=0,dim1=-2,dim2=-1",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.diag_embed,
torch.Tensor,method,diagflat,offset=0,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.diagflat,
torch.Tensor,method,diagonal,"offset=0,dim1=0,dim2=1",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.diagonal,
torch.Tensor,method,fill_diagonal_,"fill_value,wrap=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.fill_diagonal_,
torch.Tensor,method,digamma,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.digamma,
torch.Tensor,method,digamma_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.digamma_,
torch.Tensor,method,dim,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.dim,
torch.Tensor,method,dist,"other,p=2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.dist,
torch.Tensor,method,div,value,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.div,
torch.Tensor,method,div_,value,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.div_,
torch.Tensor,method,dot,tensor2,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.dot,
torch.Tensor,method,double,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.double,
torch.Tensor,method,eig,"eigenvectors=False) -> (Tensor,Tensor",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.eig,
torch.Tensor,method,element_size,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.element_size,
torch.Tensor,method,eq,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.eq,
torch.Tensor,method,eq_,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.eq_,
torch.Tensor,method,equal,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.equal,
torch.Tensor,method,erf,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.erf,
torch.Tensor,method,erf_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.erf_,
torch.Tensor,method,erfc,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.erfc,
torch.Tensor,method,erfc_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.erfc_,
torch.Tensor,method,erfinv,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.erfinv,
torch.Tensor,method,erfinv_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.erfinv_,
torch.Tensor,method,exp,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.exp,
torch.Tensor,method,exp_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.exp_,
torch.Tensor,method,expm1,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.expm1,
torch.Tensor,method,expm1_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.expm1_,
torch.Tensor,method,expand,*sizes,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.expand,
torch.Tensor,method,expand_as,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.expand_as,
torch.Tensor,method,exponential_,"lambd=1,*,generator=None",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.exponential_,
torch.Tensor,method,fft,"signal_ndim,normalized=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.fft,
torch.Tensor,method,fill_,value,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.fill_,
torch.Tensor,method,flatten,"input,start_dim=0,end_dim=-1",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.flatten,
torch.Tensor,method,flip,dims,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.flip,
torch.Tensor,method,float,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.float,
torch.Tensor,method,floor,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.floor,
torch.Tensor,method,floor_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.floor_,
torch.Tensor,method,fmod,divisor,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.fmod,
torch.Tensor,method,fmod_,divisor,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.fmod_,
torch.Tensor,method,frac,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.frac,
torch.Tensor,method,frac_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.frac_,
torch.Tensor,method,gather,"dim,index",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.gather,
torch.Tensor,method,ge,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ge,
torch.Tensor,method,ge_,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ge_,
torch.Tensor,method,geometric_,"p,*,generator=None",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.geometric_,
torch.Tensor,method,geqrf,") -> (Tensor,Tensor",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.geqrf,
torch.Tensor,method,ger,vec2,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ger,
torch.Tensor,method,get_device,) -> Device ordinal (Integer,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.get_device,
torch.Tensor,method,gt,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.gt,
torch.Tensor,method,gt_,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.gt_,
torch.Tensor,method,half,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.half,
torch.Tensor,method,hardshrink,lambd=0.5,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.hardshrink,
torch.Tensor,method,histc,"bins=100,min=0,max=0",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.histc,
torch.Tensor,method,ifft,"signal_ndim,normalized=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ifft,
torch.Tensor,method,imag,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.imag,
torch.Tensor,method,index_add_,"dim,index,tensor",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_add_,
torch.Tensor,method,index_add,"dim,index,tensor",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_add,
torch.Tensor,method,index_copy_,"dim,index,tensor",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_copy_,
torch.Tensor,method,index_copy,"dim,index,tensor",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_copy,
torch.Tensor,method,index_fill_,"dim,index,val",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_fill_,
torch.Tensor,method,index_fill,"dim,index,value",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_fill,
torch.Tensor,method,index_put_,"indices,value,accumulate=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_put_,
torch.Tensor,method,index_put,"indices,value,accumulate=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_put,
torch.Tensor,method,index_select,"dim,index",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.index_select,
torch.Tensor,method,indices,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.indices,
torch.Tensor,method,int,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.int,
