API,Type,Count,Input,Unnamed: 4
mxnet.gluon.nn.globalmaxpool1d,Abort,22,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.globalmaxpool1d.yaml_workdir/Abort_script_record,
mxnet.gluon.nn.globalmaxpool2d,Abort,13,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.globalmaxpool2d.yaml_workdir/Abort_script_record,
mxnet.gluon.nn.globalmaxpool3d,Abort,11,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.globalmaxpool3d.yaml_workdir/Abort_script_record,
mxnet.gluon.nn.leakyrelu,Abort,5,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.leakyrelu.yaml_workdir/Abort_script_record,
mxnet.ndarray.instancenorm,Floating_Point_Exception,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.instancenorm.yaml_workdir/Floating_Point_Exception_script_record,mx2
mxnet.gluon.nn.maxpool1d,Abort,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.maxpool1d.yaml_workdir/Abort_script_record,
mxnet.gluon.nn.maxpool2d,Abort,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.maxpool2d.yaml_workdir/Abort_script_record,
mxnet.gluon.nn.maxpool2d,timeout,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.maxpool2d.yaml_workdir/timeout_script_record,
mxnet.gluon.nn.maxpool3d,Abort,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.maxpool3d.yaml_workdir/Abort_script_record,
mxnet.gluon.nn.reflectionpad2d,Abort,7,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.reflectionpad2d.yaml_workdir/Abort_script_record,
mxnet.gluon.nn.swish,Nan,14,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.swish.yaml_workdir/Nan_script_record,
mxnet.gluon.utils.check_sha1,timeout,37,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.utils.check_sha1.yaml_workdir/timeout_script_record,
mxnet.gluon.utils.download,timeout,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.utils.download.yaml_workdir/timeout_script_record,
mxnet.image.random_size_crop,timeout,41,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.image.random_size_crop.yaml_workdir/timeout_script_record,
mxnet.ndarray.abs,timeout,83,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.abs.yaml_workdir/timeout_script_record,
mxnet.ndarray.add,timeout,151,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.add.yaml_workdir/timeout_script_record,
mxnet.ndarray.op.instancenorm,Floating_Point_Exception,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.op.instancenorm.yaml_workdir/Floating_Point_Exception_script_record,mx2
mxnet.ndarray.amp_cast,timeout,85,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.amp_cast.yaml_workdir/timeout_script_record,
mxnet.ndarray.arange,timeout,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.arange.yaml_workdir/timeout_script_record,
mxnet.ndarray.arccosh,timeout,95,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.arccosh.yaml_workdir/timeout_script_record,
mxnet.ndarray.arccos,timeout,92,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.arccos.yaml_workdir/timeout_script_record,
mxnet.ndarray.arcsinh,timeout,91,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.arcsinh.yaml_workdir/timeout_script_record,
mxnet.ndarray.arcsin,timeout,89,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.arcsin.yaml_workdir/timeout_script_record,
mxnet.ndarray.arctanh,timeout,115,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.arctanh.yaml_workdir/timeout_script_record,
mxnet.ndarray.arctan,timeout,107,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.arctan.yaml_workdir/timeout_script_record,
mxnet.ndarray.argmax_channel,timeout,46,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.argmax_channel.yaml_workdir/timeout_script_record,
mxnet.ndarray.argsort,Abort,15,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.argsort.yaml_workdir/Abort_script_record,
mxnet.ndarray.argsort,timeout,13,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.argsort.yaml_workdir/timeout_script_record,
mxnet.ndarray.array,timeout,146,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.array.yaml_workdir/timeout_script_record,
mxnet.ndarray.blockgrad,timeout,98,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.blockgrad.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_add,timeout,5,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_add.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_axes,timeout,13,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_axes.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_axis,timeout,14,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_axis.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_equal,timeout,3,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_equal.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_greater_equal,timeout,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_greater_equal.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_greater,timeout,3,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_greater.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_hypot,timeout,3,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_hypot.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_lesser_equal,timeout,4,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_lesser_equal.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_lesser,timeout,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_lesser.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_logical_and,timeout,3,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_logical_and.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_logical_or,timeout,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_logical_or.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_logical_xor,timeout,5,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_logical_xor.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_maximum,timeout,4,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_maximum.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_minimum,timeout,5,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_minimum.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_minus,timeout,4,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_minus.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_mod,timeout,3,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_mod.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_mul,timeout,4,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_mul.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_not_equal,timeout,4,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_not_equal.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_plus,timeout,3,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_plus.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_power,timeout,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_power.yaml_workdir/timeout_script_record,
mxnet.ndarray.broadcast_sub,timeout,5,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.broadcast_sub.yaml_workdir/timeout_script_record,
mxnet.ndarray.op.random_pdf_dirichlet,Floating_Point_Exception,3,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.op.random_pdf_dirichlet.yaml_workdir/Floating_Point_Exception_script_record,mx4
mxnet.ndarray.cast,timeout,91,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.cast.yaml_workdir/timeout_script_record,
mxnet.ndarray.cbrt,timeout,105,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.cbrt.yaml_workdir/timeout_script_record,
mxnet.ndarray.ceil,timeout,92,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.ceil.yaml_workdir/timeout_script_record,
mxnet.ndarray.op.random_pdf_poisson,Floating_Point_Exception,3,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.op.random_pdf_poisson.yaml_workdir/Floating_Point_Exception_script_record,mx4
mxnet.ndarray.clip,timeout,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.clip.yaml_workdir/timeout_script_record,
