API,url,arg
mxnet.ndarray.sparse.add_n,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/sparse/index.html#mxnet.ndarray.sparse.add_n,*args
mxnet.ndarray.op.preloaded_multi_sgd_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.preloaded_multi_sgd_update,*data
mxnet.ndarray.op.multi_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.multi_sgd_mom_update,*data
mxnet.symbol.op.khatri_rao,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/op/index.html#mxnet.symbol.op.khatri_rao,*args
mxnet.ndarray.op.multi_all_finite,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.multi_all_finite,*data
mxnet.symbol.op.amp_multicast,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/op/index.html#mxnet.symbol.op.amp_multicast,*data
mxnet.ndarray.op.reset_arrays,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.reset_arrays,*data
mxnet.symbol.multi_sgd_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/symbol.html#mxnet.symbol.multi_sgd_update,*data
mxnet.test_utils.simple_forward,https://mxnet.apache.org/versions/1.6/api/python/docs/api/mxnet/test_utils/index.html#mxnet.test_utils.simple_forward,**inputs
mxnet.ndarray.op.add_n,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.add_n,*args
mxnet.symbol.contrib.quantized_concat,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/contrib/index.html#mxnet.symbol.contrib.quantized_concat,*data
mxnet.ndarray.preloaded_multi_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.preloaded_multi_sgd_mom_update,*data
mxnet.ndarray.add_n,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.add_n,*args
mxnet.symbol.multi_sum_sq,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/symbol.html#mxnet.symbol.multi_sum_sq,*data
mxnet.symbol.UpSampling,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/symbol.html#mxnet.symbol.UpSampling,*data
mxnet.ndarray.concat,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.concat,*data
mxnet.ndarray.multi_all_finite,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.multi_all_finite,*data
mxnet.symbol.Custom,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/symbol.html#mxnet.symbol.Custom,*data
mxnet.ndarray.UpSampling,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.UpSampling,*data
mxnet.symbol.op.multi_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/op/index.html#mxnet.symbol.op.multi_sgd_mom_update,*data
mxnet.symbol.add_n,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/symbol.html#mxnet.symbol.add_n,*args
mxnet.ndarray.multi_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.multi_sgd_mom_update,*data
mxnet.symbol.preloaded_multi_mp_sgd_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/symbol.html#mxnet.symbol.preloaded_multi_mp_sgd_update,*data
mxnet.symbol.random.randn,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/random/index.html#mxnet.symbol.random.randn,*shape
mxnet.symbol.op.preloaded_multi_mp_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/op/index.html#mxnet.symbol.op.preloaded_multi_mp_sgd_mom_update,*data
mxnet.symbol.op.multi_all_finite,https://mxnet.apache.org/versions/1.6/api/python/docs/api/symbol/op/index.html#mxnet.symbol.op.multi_all_finite,*data
mxnet.ndarray.amp_multicast,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.amp_multicast,*data
mxnet.metric.create,https://mxnet.apache.org/versions/1.6/api/python/docs/api/metric/index.html#mxnet.metric.create,*args
mxnet.contrib.symbol.quantized_concat,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/symbol/index.html#mxnet.contrib.symbol.quantized_concat,*data
mxnet.ndarray.khatri_rao,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.khatri_rao,*args
